Timestamp,acc.z,ext_pos.Z,pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm
233907,0.9924185872077942,0.0,54924,52893,56961,53002
234007,0.9793161749839783,0.0,55030,52398,57090,53193
234107,0.9960824251174927,0.0,53802,51941,57580,53498
234207,0.9876898527145386,0.0,54218,51546,57291,53447
234307,0.9560863375663757,0.0,52845,50725,54633,48768
234407,0.9214776158332825,0.0,51070,47053,52128,49494
234507,0.8543428182601929,0.0,49090,47062,53342,50669
234607,0.8899914622306824,0.0,50327,47100,52582,49705
234707,0.9328662157058716,0.0,49009,47527,53857,49696
234807,0.9196829199790955,0.0,50529,47685,53098,49639
234907,0.9006080627441406,0.0,50175,48888,53060,48567
235007,0.8608753681182861,0.0,43467,37307,47857,48198
235107,0.7153160572052002,0.0,41514,37221,40201,38550
235207,0.6998963356018066,0.0,39295,38571,42294,37771
235307,0.6938004493713379,0.0,41255,36375,40732,42374
235407,0.7118003368377686,0.0,41374,35606,43149,45428
235507,0.6965653300285339,0.0,43448,39039,46199,45495
235607,0.7207654714584351,0.0,49586,33980,45397,46734
235707,0.7320663928985596,0.0,41584,46799,55632,28245
235807,0.6936581134796143,0.0,51088,35465,51413,39134
235907,0.6891269683837891,0.0,41858,34540,57071,25571
236007,7.458001136779785,0.0,51205,0,51205,56857
236107,0.7385791540145874,0.0,11850,57267,8254,58580
236207,0.7584453225135803,0.0,29677,57977,0,58580
236307,0.7354766726493835,0.0,6576,54967,13083,57507
236407,2.3227689266204834,0.0,28780,59039,28780,32839
236507,0.7379738688468933,0.0,46488,57345,22410,50776
236607,0.9044860601425171,0.0,35512,37886,59422,45852
236707,0.893936812877655,0.0,43833,48535,41028,50768
236807,1.112015724182129,0.0,28906,40978,57678,49694
236907,1.0209403038024902,0.0,0,0,0,0
237007,0.964063823223114,0.0,0,0,0,0
237107,0.9199568629264832,0.0,0,0,0,0
237207,1.0392159223556519,0.0,0,0,0,0
237307,0.978876531124115,0.0,0,0,0,0
237407,1.015434980392456,0.0,0,0,0,0
237507,1.0280252695083618,0.0,0,0,0,0
237607,1.0046206712722778,0.0,0,0,0,0
237707,1.0040897130966187,0.0,0,0,0,0
237807,0.9992430210113525,0.0,0,0,0,0
237907,1.0063893795013428,0.0,0,0,0,0
238007,1.0053014755249023,0.0,0,0,0,0
238107,0.9995992183685303,0.0,0,0,0,0
238207,0.9967878460884094,0.0,0,0,0,0
238307,0.999819278717041,0.0,0,0,0,0
238407,1.0016340017318726,0.0,0,0,0,0
238507,1.0003455877304077,0.0,0,0,0,0
238607,1.001071572303772,0.0,0,0,0,0
238707,1.0000160932540894,0.0,0,0,0,0
238807,1.000038504600525,0.0,0,0,0,0
238907,0.9986425638198853,0.0,0,0,0,0
239007,0.9998763203620911,0.0,0,0,0,0
239107,1.0011115074157715,0.0,0,0,0,0
239207,0.999523401260376,0.0,0,0,0,0
239307,1.0014705657958984,0.0,0,0,0,0
239407,0.9988828897476196,0.0,0,0,0,0
